name,boronum,X,Y,SEGMENT,AnnoAngle,AnnoLine1,AnnoLine2,AnnoLine3,Borough,OBJECTID,Stacked
EAST AURORA,,,,,,,,,,,
EAST ELMHURST,4,1021081.403,217677.17821,1,0,East,Elmhurst,,QUEENS,144,2
EAST FARMINGDALE,,,,,,,,,,,
EAST FLATBUSH,3,1001983.0219,173077.93145,1,0,East Flatbush,,,BROOKLYN,57,1
EAST GARDEN CITY,,,,,,,,,,,
EAST GLENVILLE,,,,,,,,,,,
EAST GREENBUSH,,,,,,,,,,,
EAST HAMPTON,,,,,,,,,,,
EAST HAMPTON NORTH,,,,,,,,,,,
EAST HARLEM,1,999705.77977,227919.70071,1,0,East,Harlem,,MANHATTAN,109,2
EAST HILLS,,,,,,,,,,,
EAST ISLIP,,,,,,,,,,,
EAST ITHACA,,,,,,,,,,,
EAST KINGSTON,,,,,,,,,,,
EAST MARION,,,,,,,,,,,
EAST MASSAPEQUA,,,,,,,,,,,
EAST MEADOW,,,,,,,,,,,
EAST MORICHES,,,,,,,,,,,
EAST NASSAU,,,,,,,,,,,
EAST NEW YORK,3,1017344.8925,183370.93449,1,0,East New York,,,BROOKLYN,73,1
EAST NORTHPORT,,,,,,,,,,,
EAST NORWICH,,,,,,,,,,,
EAST PATCHOGUE,,,,,,,,,,,
EAST QUOGUE,,,,,,,,,,,
EAST RANDOLPH,,,,,,,,,,,
EAST ROCHESTER,,,,,,,,,,,
EAST ROCKAWAY,,,,,,,,,,,
EAST SHOREHAM,,,,,,,,,,,
EAST SYRACUSE,,,,,,,,,,,
EAST TREMONT,2,1015417.1102,246314.36175,1,0,East,Tremont,,BRONX,18,2
EAST VILLAGE,1,989176.28508,204451.26634,1,0,East,Village,,MANHATTAN,121,2
EAST WILLIAMSBURG,3,1001201.3011,197405.29422,1,0,East,Williamsburg,,BROOKLYN,97,2
EAST WILLISTON,,,,,,,,,,,
EASTCHESTER,2,1031861.6151,262685.1899,1,0,Eastchester,,,BRONX,3,1
EASTPORT,,,,,,,,,,,
EATONS NECK,,,,,,,,,,,
EDEN,,,,,,,,,,,
EDENWALD,2,1026257.1125,261583.84827,1,0,Edenwald,,,BRONX,46,1
EDGEMERE,4,1046421.1752,156364.22308,1,0,Edgemere,,,QUEENS,179,1
EDGEWATER PARK,2,1035761.6148,238803.61332,1,0,Edgewater,Park,,BRONX,40,2
EDWARDS,,,,,,,,,,,
EGBERTVILLE,5,948895.82693,150290.69455,1,0,Egbertville,,,STATEN ISLAND,290,1
ELBA,,,,,,,,,,,
ELBRIDGE,,,,,,,,,,,
ELLENVILLE,,,,,,,,,,,
ELLICOTTVILLE,,,,,,,,,,,
ELLISBURG,,,,,,,,,,,
ELM PARK,5,944885.73849,168887.6918,1,0,Elm,Park,,STATEN ISLAND,261,2
ELMA CENTER,,,,,,,,,,,
ELMHURST,4,1017042.7694,210375.71775,1,0,Elmhurst,,,QUEENS,135,1
ELMIRA,,,,,,,,,,,
ELMIRA HEIGHTS,,,,,,,,,,,
ELMONT,,,,,,,,,,,
ELMSFORD,,,,,,,,,,,
ELTINGVILLE,5,938576.41483,136868.65906,1,0,Eltingville,,,STATEN ISLAND,217,1
ELWOOD,,,,,,,,,,,
EMERSON HILL,5,957104.56018,160363.10091,1,0,Emerson,Hill,,STATEN ISLAND,258,2
ENDICOTT,,,,,,,,,,,
ENDWELL,,,,,,,,,,,
ESPERANCE,,,,,,,,,,,
EVANS MILLS,,,,,,,,,,,
FABIUS,,,,,,,,,,,
FAIR HAVEN,,,,,,,,,,,
FAIRMOUNT,,,,,,,,,,,
FAIRPORT,,,,,,,,,,,
FAIRVIEW,,,,,,,,,,,
FAIRVIEW,,,,,,,,,,,
FALCONER,,,,,,,,,,,
FAR ROCKAWAY,4,1052288.0611,159109.69003,1,0,Far Rockaway,,,QUEENS,173,2
FARMINGDALE,,,,,,,,,,,
FARMINGVILLE,,,,,,,,,,,
FARNHAM,,,,,,,,,,,
FAYETTEVILLE,,,,,,,,,,,
FIELDSTON,2,1010336.7943,265524.08613,1,0,Fieldston,,,BRONX,4,1
FINANCIAL DISTRICT,1,981292.99179,196894.85068,1,0,Financial,District,,MANHATTAN,131,2
FIRE ISLAND,,,,,,,,,,,
FIRTHCLIFFE,,,,,,,,,,,
FISHERS ISLAND,,,,,,,,,,,
FISHKILL,,,,,,,,,,,
FLANDERS,,,,,,,,,,,
FLATBUSH,3,995795.60321,171109.79858,1,0,Flatbush,,,BROOKLYN,55,1
FLATIRON,1,986758.70035,208759.57761,1,0,Flatiron,,,MANHATTAN,279,1
FLATLANDS,3,1003926.103,168972.83238,1,0,Flatlands,,,BROOKLYN,76,1
FLEISCHMANNS,,,,,,,,,,,
FLORAL PARK,4,1064930.8727,209514.85235,1,0,Floral Park,,,QUEENS,184,1
FLORIDA,,,,,,,,,,,
FLOWER HILL,,,,,,,,,,,
FONDA,,,,,,,,,,,
FORDHAM,2,1012899.568,252978.87992,1,0,Fordham,,,BRONX,17,1
FOREST HILLS,4,1027357.734,203547.96927,1,0,Forest,Hills,,QUEENS,138,2
FOREST HILLS GARDENS,4,1028321.8351,199668.58792,1,0,Forest,Hills,Gardens,QUEENS,199,3
FOREST HOME,,,,,,,,,,,
FORESTVILLE,,,,,,,,,,,
FORT ANN,,,,,,,,,,,
FORT DRUM,,,,,,,,,,,
FORT EDWARD,,,,,,,,,,,
FORT GREENE,3,991764.01055,190126.64375,1,0,Fort,Greene,,BROOKLYN,70,2
FORT HAMILTON,3,975371.46,163254.61186,1,0,Fort,Hamilton,,BROOKLYN,102,2
FORT JOHNSON,,,,,,,,,,,
FORT MONTGOMERY,,,,,,,,,,,
FORT PLAIN,,,,,,,,,,,
FORT SALONGA,,,,,,,,,,,
FRANKFORT,,,,,,,,,,,
FRANKLIN,,,,,,,,,,,
FRANKLIN SQUARE,,,,,,,,,,,
FRANKLINVILLE,,,,,,,,,,,
FREDONIA,,,,,,,,,,,
FREEPORT,,,,,,,,,,,
FREEVILLE,,,,,,,,,,,
FRESH MEADOWS,4,1044468.2716,206910.98026,1,0,Fresh,Meadows,,QUEENS,161,2
FREWSBURG,,,,,,,,,,,
FRIENDSHIP,,,,,,,,,,,
FULTON,,,,,,,,,,,
FULTON FERRY,3,985495.61758,195500.77014,1,0,Fulton,Ferry,,BROOKLYN,282,2
FULTONVILLE,,,,,,,,,,,
GAINESVILLE,,,,,,,,,,,
GALEVILLE,,,,,,,,,,,
GALWAY,,,,,,,,,,,
GANG MILLS,,,,,,,,,,,
GARDEN CITY,,,,,,,,,,,
GARDEN CITY PARK,,,,,,,,,,,
GARDEN CITY SOUTH,,,,,,,,,,,
GARDINER,,,,,,,,,,,
GARDNERTOWN,,,,,,,,,,,
GASPORT,,,,,,,,,,,
GATES-NORTH GATES,,,,,,,,,,,
GENESEO,,,,,,,,,,,
GENEVA,,,,,,,,,,,
GEORGETOWN,3,1007547.4166,166571.18462,1,0,Georgetown,,,BROOKLYN,95,1
GERMANTOWN,,,,,,,,,,,
GERRITSEN BEACH,3,1003663.1866,154546.17718,1,0,Gerritsen,Beach,,BROOKLYN,83,2
GHENT,,,,,,,,,,,
GILBERTSVILLE,,,,,,,,,,,
GILGO-OAK BEACH-CAPTREE,,,,,,,,,,,
GLASCO,,,,,,,,,,,
GLEN COVE,,,,,,,,,,,
GLEN HEAD,,,,,,,,,,,
GLEN OAKS,4,1063082.9663,212446.17818,1,0,Glen,Oaks,,QUEENS,158,2
GLEN PARK,,,,,,,,,,,
GLENDALE,4,1020089.3574,195338.21666,1,0,Glendale,,,QUEENS,147,1
GLENS FALLS,,,,,,,,,,,
GLENS FALLS NORTH,,,,,,,,,,,
GLENWOOD LANDING,,,,,,,,,,,
GLOVERSVILLE,,,,,,,,,,,
GOLDENS BRIDGE,,,,,,,,,,,
GORDON HEIGHTS,,,,,,,,,,,
GOSHEN,,,,,,,,,,,
GOUVERNEUR,,,,,,,,,,,
GOWANDA,,,,,,,,,,,
GOWANUS,3,985792.04251,184807.74362,1,0,Gowanus,,,BROOKLYN,69,1
GRAMERCY,1,989411.21014,207862.56956,1,0,Gramercy,,,MANHATTAN,129,1
GRAND VIEW-ON-HUDSON,,,,,,,,,,,
GRANITEVILLE,5,941732.93049,165258.75418,1,0,Graniteville,,,STATEN ISLAND,229,1
GRANT CITY,5,954843.67363,149225.0871,1,0,Grant,City,,STATEN ISLAND,236,2
GRANVILLE,,,,,,,,,,,
GRASMERE,5,962957.22991,157251.01823,1,0,Grasmere,,,STATEN ISLAND,232,1
GRAVESEND,3,991617.57384,156146.79766,1,0,Gravesend,,,BROOKLYN,51,1
GREAT BEND,,,,,,,,,,,
GREAT KILLS,5,942751.90812,139502.3467,1,0,Great,Kills,,STATEN ISLAND,216,2
GREAT NECK,,,,,,,,,,,
GREAT NECK ESTATES,,,,,,,,,,,
GREAT NECK GARDENS,,,,,,,,,,,
GREAT NECK PLAZA,,,,,,,,,,,
GREAT RIVER,,,,,,,,,,,
GREECE,,,,,,,,,,,
GREEN ISLAND,,,,,,,,,,,
GREENE,,,,,,,,,,,
GREENLAWN,,,,,,,,,,,
GREENPOINT,3,996932.36406,205311.79021,1,0,Greenpoint,,,BROOKLYN,50,1
GREENPORT,,,,,,,,,,,
GREENPORT WEST,,,,,,,,,,,
GREENRIDGE,5,931037.30359,143253.00554,1,0,Greenridge,,,STATEN ISLAND,245,1
GREENVALE,,,,,,,,,,,
GREENVILLE,,,,,,,,,,,
GREENVILLE,,,,,,,,,,,
GREENWICH,,,,,,,,,,,
GREENWICH VILLAGE,1,984273.82835,204117.80737,1,0,Greenwich,Village,,MANHATTAN,120,2
GREENWOOD LAKE,,,,,,,,,,,
GROTON,,,,,,,,,,,
GRYMES HILL,5,960030.23937,166695.79166,1,0,Grymes,Hill,,STATEN ISLAND,205,2
HAGAMAN,,,,,,,,,,,
