feature_name,b7sc
VLADECK TWO PROJECTS BLDG   24,11124505
WALL ST COURT,11125001
WALL STREET COURT,11125001
ABSECON ROAD,11129001
ACADEMY STREET,11131001
MANHATTANVILLE REHAB    3,11132501
MANHATTANVILLE REHAB GROUP    3,11132501
MANHATTANVILLE REHAB III,11132501
MANHATTANVILLE REHABS    3,11132501
MANHATTANVILLE REHABS GROUP    3,11132501
MANHATTANVILLE REHABS III,11132501
ALBIZU CAMPOS PLAZA    1,11135001
ALBIZU CAMPOS PLAZA    1 HOUSES,11135001
ALBIZU CAMPOS PLAZA I,11135001
ALBIZU CAMPOS PLAZA I COMPLEX,11135001
ALBIZU CAMPOS PLAZA I HOUSES,11135001
ALBIZU CAMPOS PLAZA I PROJECTS,11135001
ALBIZU CAMPOS PLAZA ONE,11135001
ALBIZU CAMPOS PLAZA ONE HOUSES,11135001
ALBIZU CAMPOS PLAZA ONE PROJECTS,11135001
ALBIZU CAMPOS PLZ    1 PROJECTS,11135001
ALBIZU-CAMPOS PLAZA    1,11135001
ALBIZU-CAMPOS PLAZA    1 HOUSES,11135001
ALBIZU-CAMPOS PLAZA I,11135001
ALBIZU-CAMPOS PLAZA I COMPLEX,11135001
ALBIZU-CAMPOS PLAZA I HOUSES,11135001
ALBIZU-CAMPOS PLAZA I PROJECTS,11135001
ALBIZU-CAMPOS PLAZA ONE,11135001
ALBIZU-CAMPOS PLAZA ONE HOUSES,11135001
ALBIZU-CAMPOS PLAZA ONE PROJECTS,11135001
ALBIZU-CAMPOS PLZ    1 PROJECTS,11135001
CAMPOS PLAZA    1,11135001
CAMPOS PLAZA    1 HOUSES,11135001
CAMPOS PLAZA    1 HOUSES COMPLEX,11135001
CAMPOS PLAZA    1 PROJECTS,11135001
CAMPOS PLAZA I,11135001
CAMPOS PLAZA I HOUSES,11135001
CAMPOS PLAZA I HOUSES COMPLEX,11135001
CAMPOS PLAZA I PROJECTS,11135001
CAMPOS PLAZA I PROJECTS COMPLEX,11135001
CAMPOS PLAZA ONE,11135001
CAMPOS PLAZA ONE HOUSES,11135001
CAMPOS PLAZA ONE HOUSES COMPLEX,11135001
CAMPOS PLAZA ONE PROJECTS,11135001
CAMPOS PLZ ONE PROJECTS COMPLEX,11135001
PEDRO ALBIZU CAMPOS PLAZA    1,11135001
PEDRO ALBIZU CAMPOS PLAZA I,11135001
PEDRO ALBIZU CAMPOS PLZ I HOUSES,11135001
PEDRO ALBIZU-CAMPOS PLAZA    1,11135001
PEDRO ALBIZU-CAMPOS PLAZA I,11135001
PEDRO ALBIZU-CAMPOS PLZ I HOUSES,11135001
ALBIZU CAMPOS PLAZA I BLDG    1,11135005
ALBIZU CAMPOS PLZ    1 BLDG    1,11135005
ALBIZU-CAMPOS PLAZA I BLDG    1,11135005
ALBIZU-CAMPOS PLZ    1 BLDG    1,11135005
CAMPOS PLAZA    1 BUILDING    1,11135005
CAMPOS PLAZA I BUILDING    1,11135005
CAMPOS PLAZA I HOUSES BLDG    1,11135005
CAMPOS PLZ    1 HOUSES BLDG    1,11135005
CAMPOS PLZ I PROJECTS BLDG    1,11135005
P ALBIZU CAMPOS PLZ I BLDG    1,11135005
P ALBIZU-CAMPOS PLZ I BLDG    1,11135005
ALBIZU CAMPOS PLAZA I BLDG    2,11135006
ALBIZU CAMPOS PLZ    1 BLDG    2,11135006
ALBIZU-CAMPOS PLAZA I BLDG    2,11135006
ALBIZU-CAMPOS PLZ    1 BLDG    2,11135006
CAMPOS PLAZA    1 BUILDING    2,11135006
CAMPOS PLAZA I BUILDING    2,11135006
CAMPOS PLAZA I HOUSES BLDG    2,11135006
CAMPOS PLZ    1 HOUSES BLDG    2,11135006
CAMPOS PLZ I PROJECTS BLDG    2,11135006
P ALBIZU CAMPOS PLZ I BLDG    2,11135006
P ALBIZU-CAMPOS PLZ I BLDG    2,11135006
DOUGLASS    2 HOUSES BLDG    1,11135502
DOUGLASS    2 PROJECTS BLDG    1,11135502
DOUGLASS HOUSES    2 BLDG    1,11135502
DOUGLASS HOUSES BUILDING    1,11135502
DOUGLASS HOUSES II BUILDING    1,11135502
DOUGLASS II HOUSES BUILDING    1,11135502
DOUGLASS II PROJECTS BLDG    1,11135502
DOUGLASS PROJECT    2 BLDG    1,11135502
DOUGLASS PROJECTS BUILDING    1,11135502
DOUGLASS PROJECTS II BLDG    1,11135502
F DOUGLASS    2 HOUSES BLDG    1,11135502
F DOUGLASS HOUSES    2 BLDG    1,11135502
F DOUGLASS HOUSES BUILDING    1,11135502
F DOUGLASS HOUSES II BLDG    1,11135502
F DOUGLASS II HOUSES BLDG    1,11135502
F DOUGLASS II PROJECTS BLDG    1,11135502
F DOUGLASS PROJECTS BLDG    1,11135502
F DOUGLASS PROJECTS II BLDG    1,11135502
DOUGLASS    2 HOUSES BLDG    2,11135503
DOUGLASS    2 PROJECTS BLDG    2,11135503
DOUGLASS HOUSES    2 BLDG    2,11135503
DOUGLASS HOUSES BUILDING    2,11135503
DOUGLASS HOUSES II BUILDING    2,11135503
DOUGLASS II HOUSES BUILDING    2,11135503
DOUGLASS II PROJECTS BLDG    2,11135503
DOUGLASS PROJECTS    2 BLDG    2,11135503
DOUGLASS PROJECTS BUILDING    2,11135503
DOUGLASS PROJECTS II BLDG    2,11135503
F DOUGLASS    2 HOUSES BLDG    2,11135503
F DOUGLASS HOUSES    2 BLDG    2,11135503
F DOUGLASS HOUSES BUILDING    2,11135503
F DOUGLASS HOUSES II BLDG    2,11135503
F DOUGLASS II HOUSES BLDG    2,11135503
F DOUGLASS II PROJECTS BLDG    2,11135503
F DOUGLASS PROJECTS BLDG    2,11135503
F DOUGLASS PROJECTS II BLDG    2,11135503
DOUGLASS    2 HOUSES BLDG    3,11135504
DOUGLASS    2 PROJECTS BLDG    3,11135504
DOUGLASS HOUSES    2 BLDG    3,11135504
DOUGLASS HOUSES BUILDING    3,11135504
DOUGLASS HOUSES II BUILDING    3,11135504
DOUGLASS II HOUSES BUILDING    3,11135504
DOUGLASS II PROJECTS BLDG    3,11135504
DOUGLASS PROJECTS    2 BLDG    3,11135504
DOUGLASS PROJECTS BUILDING    3,11135504
DOUGLASS PROJECTS II BLDG    3,11135504
F DOUGLASS    2 HOUSES BLDG    3,11135504
F DOUGLASS HOUSES    2 BLDG    3,11135504
F DOUGLASS HOUSES BUILDING    3,11135504
F DOUGLASS HOUSES II BLDG    3,11135504
F DOUGLASS II HOUSES BLDG    3,11135504
F DOUGLASS II PROJECTS BLDG    3,11135504
F DOUGLASS PROJECTS BLDG    3,11135504
F DOUGLASS PROJECTS II BLDG    3,11135504
DOUGLASS    2 HOUSES BLDG   13,11135505
DOUGLASS    2 PROJECTS BLDG   13,11135505
DOUGLASS HOUSES    2 BLDG   13,11135505
DOUGLASS HOUSES BUILDING   13,11135505
DOUGLASS HOUSES II BUILDING   13,11135505
DOUGLASS II HOUSES BUILDING   13,11135505
DOUGLASS II PROJECTS BLDG   13,11135505
DOUGLASS PROJECTS    2 BLDG   13,11135505
DOUGLASS PROJECTS BUILDING   13,11135505
DOUGLASS PROJECTS II BLDG   13,11135505
F DOUGLASS    2 HOUSES BLDG   13,11135505
F DOUGLASS HOUSES    2 BLDG   13,11135505
F DOUGLASS HOUSES BUILDING   13,11135505
F DOUGLASS HOUSES II BLDG   13,11135505
F DOUGLASS II HOUSES BLDG   13,11135505
F DOUGLASS II PROJECTS BLDG   13,11135505
F DOUGLASS PROJECTS BLDG   13,11135505
F DOUGLASS PROJECTS II BLDG   13,11135505
DOUGLASS    2 HOUSES BLDG   14,11135506
DOUGLASS    2 PROJECTS BLDG   14,11135506
DOUGLASS HOUSES    2 BLDG   14,11135506
DOUGLASS HOUSES BUILDING   14,11135506
DOUGLASS HOUSES II BUILDING   14,11135506
DOUGLASS II HOUSES BUILDING   14,11135506
DOUGLASS II PROJECTS BLDG   14,11135506
DOUGLASS PROJECTS    2 BLDG   14,11135506
DOUGLASS PROJECTS BUILDING   14,11135506
DOUGLASS PROJECTS II BLDG   14,11135506
F DOUGLASS    2 HOUSES BLDG   14,11135506
F DOUGLASS HOUSES    2 BLDG   14,11135506
F DOUGLASS HOUSES BUILDING   14,11135506
F DOUGLASS HOUSES II BLDG   14,11135506
F DOUGLASS II HOUSES BLDG   14,11135506
F DOUGLASS II PROJECTS BLDG   14,11135506
F DOUGLASS PROJECTS BLDG   14,11135506
F DOUGLASS PROJECTS II BLDG   14,11135506
DOUGLASS    2 HOUSES BLDG   15,11135507
DOUGLASS    2 PROJECTS BLDG   15,11135507
DOUGLASS HOUSES    2 BLDG   15,11135507
DOUGLASS HOUSES BUILDING   15,11135507
DOUGLASS HOUSES II BUILDING   15,11135507
DOUGLASS II HOUSES BUILDING   15,11135507
DOUGLASS II PROJECTS BLDG   15,11135507
DOUGLASS PROJECTS    2 BLDG   15,11135507
DOUGLASS PROJECTS BUILDING   15,11135507
DOUGLASS PROJECTS II BLDG   15,11135507
F DOUGLASS    2 HOUSES BLDG   15,11135507
F DOUGLASS HOUSES    2 BLDG   15,11135507
F DOUGLASS HOUSES BUILDING   15,11135507
F DOUGLASS HOUSES II BLDG   15,11135507
F DOUGLASS II HOUSES BLDG   15,11135507
F DOUGLASS II PROJECTS BLDG   15,11135507
F DOUGLASS PROJECTS BLDG   15,11135507
F DOUGLASS PROJECTS II BLDG   15,11135507
DOUGLASS ADDITION HOUSE,11136001
DOUGLASS ADDITION HOUSES,11136001
